date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:26:07	64392/64392	---M--	200	added ('OK')	application/font-woff	etag:%22fb88-5e906cd2-50085e;;;%22	https://www.erensibot.com/webfonts/fa-brands-400.woff	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-brands-400.woff	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:07	99468/99468	---M--	200	added ('OK')	application/x-font-ttf	etag:%221848c-5e906cd1-50085f;;;%22	https://www.erensibot.com/webfonts/fa-brands-400.ttf	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-brands-400.ttf	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:07	30788/30788	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%227844-5e906cd2-500869;;;%22	https://www.erensibot.com/webfonts/fa-regular-400.eot	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-regular-400.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:07	512724/512724	---MCZ	200	added ('OK')	image/svg+xml	etag:%227d2d4-5e906cd2-50086a;gz%22	https://www.erensibot.com/webfonts/fa-brands-400.svg	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-brands-400.svg	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:08	30788/30788	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%227844-5e906cd2-500869;;;%22	https://www.erensibot.com/webfonts/fa-regular-400.eot?	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-regular-400d41d.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:08	12216/12216	---M--	200	added ('OK')	font/woff2	etag:%222fb8-5e906cd3-50086d;;;%22	https://www.erensibot.com/webfonts/fa-regular-400.woff2	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-regular-400.woff2	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:08	14672/14672	---M--	200	added ('OK')	application/font-woff	etag:%223950-5e906cd3-500860;;;%22	https://www.erensibot.com/webfonts/fa-regular-400.woff	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-regular-400.woff	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:08	30560/30560	---M--	200	added ('OK')	application/x-font-ttf	etag:%227760-5e906cd3-50086e;;;%22	https://www.erensibot.com/webfonts/fa-regular-400.ttf	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-regular-400.ttf	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:09	104303/104303	---M-Z	200	added ('OK')	image/svg+xml	etag:%221976f-5e906cd3-50085c;gz%22	https://www.erensibot.com/webfonts/fa-regular-400.svg	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-regular-400.svg	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:09	115148/115148	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221c1cc-5e906cd4-500866;;;%22	https://www.erensibot.com/webfonts/fa-solid-900.eot	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-solid-900.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:09	115148/115148	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221c1cc-5e906cd4-500866;;;%22	https://www.erensibot.com/webfonts/fa-solid-900.eot?	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-solid-900d41d.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:10	44068/44068	---M--	200	added ('OK')	font/woff2	etag:%22ac24-5e906cd5-500862;;;%22	https://www.erensibot.com/webfonts/fa-solid-900.woff2	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-solid-900.woff2	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:10	55484/55484	---M--	200	added ('OK')	application/font-woff	etag:%22d8bc-5e906cd5-500867;;;%22	https://www.erensibot.com/webfonts/fa-solid-900.woff	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-solid-900.woff	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:10	114928/114928	---M--	200	added ('OK')	application/x-font-ttf	etag:%221c0f0-5e906cd5-50085d;;;%22	https://www.erensibot.com/webfonts/fa-solid-900.ttf	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-solid-900.ttf	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:11	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d794-5e906cd6-500863;;;%22	https://www.erensibot.com/webfonts/ionicons.eot?v=2.0.1	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/ionicons790f.eot	(from https://www.erensibot.com/css/ionicons.min.css)
02:26:11	421927/421927	---MCZ	200	added ('OK')	image/svg+xml	etag:%2267027-5e906cd5-500868;gz%22	https://www.erensibot.com/webfonts/fa-solid-900.svg	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/fa-solid-900.svg	(from https://www.erensibot.com/css/fontawesome-all.min.css)
02:26:11	67904/67904	---M--	200	added ('OK')	application/font-woff	etag:%2210940-5e906cd8-500865;;;%22	https://www.erensibot.com/webfonts/ionicons.woff?v=2.0.1	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/ionicons790f.woff	(from https://www.erensibot.com/css/ionicons.min.css)
02:26:11	188508/188508	---M--	200	added ('OK')	application/x-font-ttf	etag:%222e05c-5e906cd6-50086c;;;%22	https://www.erensibot.com/webfonts/ionicons.ttf?v=2.0.1	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/ionicons790f.ttf	(from https://www.erensibot.com/css/ionicons.min.css)
02:26:12	336064/336064	---M-Z	200	added ('OK')	image/svg+xml	etag:%22520c0-5e906cd7-50086b;gz%22	https://www.erensibot.com/webfonts/ionicons.svg?v=2.0.1	C:/speakturk/ErexisBot/www.erensibot.com/webfonts/ionicons790f.svg	(from https://www.erensibot.com/css/ionicons.min.css)
02:26:12	75013/75013	---M-Z	200	added ('OK')	text/css	etag:%2212505-5e906bd5-5008f3;gz%22	https://www.erensibot.com/css/animate.css	C:/speakturk/ErexisBot/www.erensibot.com/css/animate.css	(from https://www.erensibot.com/css/style.css)
